brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,cells_missing_flag,footprint_m2,volume_m3,battery_per_seat,torque_per_100kwh,segment_group
Audi,Q6 e-tron quattro,210,94.9,180.0,855.0,176,480,5.9,200.0,2400.0,10 Banana Boxes,5,AWD,JD - Large,4771,1939,1685,SUV,0,9.250969,15.587882765,18.98,900.9483667017912,JD
Audi,S6 Avant e-tron,240,94.9,180.0,855.0,156,530,3.9,200.0,2100.0,502,5,AWD,JE - Executive,4928,1923,1493,Station/Estate,0,9.476544,14.148480192000001,18.98,900.9483667017912,JE
Audi,S6 Sportback e-tron,240,94.9,180.0,855.0,149,555,3.9,200.0,2100.0,502,5,AWD,JE - Executive,4928,1923,1465,Liftback Sedan,0,9.476544,13.883136960000002,18.98,900.9483667017912,JE
Audi,SQ6 e-tron,230,94.9,180.0,855.0,169,470,4.3,200.0,2400.0,514,5,AWD,JD - Large,4771,1965,1685,SUV,0,9.375015,15.796900274999999,18.98,900.9483667017912,JD
Audi,SQ6 e-tron Sportback,230,94.9,180.0,855.0,164,495,4.3,200.0,2400.0,511,5,AWD,JD - Large,4771,1965,1665,SUV,0,9.375015,15.609399974999999,18.98,900.9483667017912,JD
Audi,e-tron GT RS,250,97.0,396.0,865.0,184,525,2.8,281.0,0.0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan,0,9.814108,13.631796011999999,24.25,891.7525773195877,F
Audi,e-tron GT RS performance,250,97.0,396.0,1027.0,182,525,2.5,281.0,0.0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan,0,9.814108,13.631796011999999,24.25,1058.7628865979382,F
Audi,e-tron GT S,245,97.0,396.0,740.0,172,540,3.4,281.0,0.0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan,0,9.827855999999999,13.700031263999998,24.25,762.8865979381444,F
Audi,e-tron GT quattro,245,97.0,396.0,625.0,169,540,4.0,281.0,0.0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan,0,9.827855999999999,13.700031263999998,24.25,644.3298969072165,F
BMW,i4 M50,225,81.3,,795.0,197,450,3.9,131.0,1600.0,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,1,8.858116,12.826551968,16.259999999999998,977.859778597786,D
BMW,i4 eDrive35,190,67.1,,400.0,174,430,6.0,95.0,1600.0,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,1,8.858116,12.826551968,13.419999999999998,596.1251862891207,D
BMW,i4 eDrive40,190,81.3,,430.0,174,515,5.6,131.0,1600.0,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,1,8.858116,12.826551968,16.259999999999998,528.9052890528906,D
BMW,i4 xDrive40,200,81.3,,600.0,183,490,5.1,131.0,1600.0,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,1,8.858116,12.826551968,16.259999999999998,738.0073800738007,D
BMW,i5 M60 xDrive Sedan (MY25),230,81.2,,795.0,172,430,3.8,136.0,2000.0,490,5,AWD,E - Executive,5060,1900,1505,Sedan,1,9.613999999999999,14.469069999999997,16.240000000000002,979.0640394088668,E
BMW,i5 M60 xDrive Touring (MY25),230,81.2,,795.0,179,425,3.9,136.0,2000.0,570,5,AWD,E - Executive,5060,1900,1505,Station/Estate,1,9.613999999999999,14.469069999999997,16.240000000000002,979.0640394088668,E
BMW,i5 eDrive40 Sedan (MY25),193,81.2,,400.0,159,480,6.0,136.0,1500.0,490,5,RWD,E - Executive,5060,1900,1515,Sedan,1,9.613999999999999,14.565209999999997,16.240000000000002,492.6108374384237,E
BMW,i5 eDrive40 Touring (MY25),193,81.2,,400.0,165,465,6.1,136.0,1500.0,570,5,RWD,E - Executive,5060,1900,1515,Station/Estate,1,9.613999999999999,14.565209999999997,16.240000000000002,492.6108374384237,E
BMW,i5 xDrive40 Sedan (MY25),215,81.2,,590.0,167,465,5.4,136.0,2000.0,490,5,AWD,E - Executive,5060,1900,1515,Sedan,1,9.613999999999999,14.565209999999997,16.240000000000002,726.6009852216748,E
BMW,i5 xDrive40 Touring (MY25),215,81.2,,590.0,174,450,5.5,136.0,2000.0,570,5,AWD,E - Executive,5060,1900,1515,Station/Estate,1,9.613999999999999,14.565209999999997,16.240000000000002,726.6009852216748,E
BMW,i7 M70 xDrive,250,101.7,,1100.0,208,490,3.7,159.0,0.0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,1,10.51245,16.2312228,20.34,1081.6125860373647,F
BMW,i7 eDrive50,205,101.7,,650.0,177,520,5.5,159.0,0.0,500,5,RWD,F - Luxury,5391,1950,1544,Sedan,1,10.51245,16.2312228,20.34,639.13470993117,F
BMW,i7 xDrive60,240,101.7,,745.0,172,510,4.7,159.0,2000.0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,1,10.51245,16.2312228,20.34,732.5467059980334,F
BMW,iX M70 xDrive,250,108.9,,1015.0,209,500,3.8,150.0,2500.0,500,5,AWD,JE - Executive,4965,1970,1695,SUV,1,9.78105,16.578879750000002,21.78,932.0477502295685,JE
BMW,iX xDrive45,200,94.8,,700.0,193,470,5.1,115.0,2500.0,500,5,AWD,JE - Executive,4965,1970,1695,SUV,1,9.78105,16.578879750000002,18.96,738.3966244725739,JE
BMW,iX xDrive60,200,109.1,,765.0,194,525,4.6,150.0,2500.0,500,5,AWD,JE - Executive,4965,1970,1695,SUV,1,9.78105,16.578879750000002,21.82,701.1915673693859,JE
BMW,iX1 eDrive20,170,64.7,,247.0,150,390,8.3,94.0,750.0,490,5,FWD,JC - Medium,4500,1845,1616,SUV,1,8.3025,13.41684,12.940000000000001,381.7619783616692,JC
BMW,iX1 xDrive30,180,64.7,,494.0,155,380,5.6,94.0,1200.0,490,5,AWD,JC - Medium,4500,1845,1616,SUV,1,8.3025,13.41684,12.940000000000001,763.5239567233384,JC
BMW,iX2 eDrive20,170,64.7,,247.0,147,395,8.6,94.0,750.0,525,5,FWD,JC - Medium,4554,1845,1560,SUV,1,8.40213,13.1073228,12.940000000000001,381.7619783616692,JC
BMW,iX2 xDrive30,180,64.7,,494.0,155,385,5.6,94.0,1200.0,525,5,AWD,JC - Medium,4554,1845,1560,SUV,1,8.40213,13.1073228,12.940000000000001,763.5239567233384,JC
BYD,ATTO 2,160,45.1,,290.0,145,245,7.9,51.0,750.0,400,5,FWD,JB - Compact,4310,1830,1675,SUV,1,7.8873,13.2112275,9.02,643.0155210643015,JB
BYD,ATTO 3 (MY25),160,60.5,126.0,310.0,144,340,7.3,75.0,750.0,440,5,FWD,JC - Medium,4455,1875,1615,SUV,0,8.353125,13.490296875,12.1,512.396694214876,JC
BYD,DOLPHIN 44.9 kWh Active,150,44.9,104.0,180.0,132,265,12.3,50.0,0.0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,0,7.5933,11.921481,8.98,400.89086859688194,C
BYD,DOLPHIN 44.9 kWh Boost,160,44.9,104.0,,145,260,8.0,50.0,0.0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,0,7.5933,11.921481,8.98,,C
BYD,DOLPHIN 60.4 kWh,160,60.5,126.0,310.0,142,350,7.0,65.0,0.0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,0,7.5933,11.921481,12.1,512.396694214876,C
BYD,DOLPHIN SURF 30 kWh Active,150,30.0,94.0,175.0,136,190,11.1,45.0,0.0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,0,6.8628,10.911852000000001,7.5,583.3333333333333,B
BYD,DOLPHIN SURF 43.2 kWh Boost,150,43.2,90.0,175.0,134,270,12.1,60.0,0.0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,0,6.8628,10.911852000000001,10.8,405.09259259259255,B
BYD,DOLPHIN SURF 43.2 kWh Comfort,150,43.2,90.0,220.0,139,265,9.1,60.0,0.0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,0,6.8628,10.911852000000001,10.8,509.25925925925924,B
BYD,SEAL 61.4 kWh RWD Comfort,220,61.4,128.0,380.0,133,365,7.5,75.0,750.0,400,5,RWD,D - Large,4800,1875,1460,Sedan,0,9.0,13.14,12.28,618.8925081433225,D
BYD,SEAL 82.5 kWh AWD Excellence,180,82.5,172.0,670.0,159,445,3.8,100.0,1500.0,400,5,AWD,D - Large,4800,1875,1460,Sedan,0,9.0,13.14,16.5,812.1212121212121,D
BYD,SEAL 82.5 kWh RWD Design,180,82.5,172.0,360.0,145,480,5.9,100.0,750.0,400,5,RWD,D - Large,4800,1875,1460,Sedan,0,9.0,13.14,16.5,436.3636363636363,D
BYD,SEAL U 71.8 kWh Comfort,175,71.8,132.0,310.0,171,360,9.3,72.0,1300.0,552,5,FWD,JD - Large,4785,1890,1668,SUV,0,9.04365,15.084808199999998,14.36,431.7548746518106,JD
BYD,SEAL U 87 kWh Design,175,87.0,160.0,330.0,174,425,9.6,85.0,1300.0,552,5,FWD,JD - Large,4785,1890,1668,SUV,0,9.04365,15.084808199999998,17.4,379.3103448275862,JD
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,172.0,690.0,181,400,4.5,115.0,1500.0,520,5,AWD,JD - Large,4830,1925,1620,SUV,0,9.29775,15.062355000000002,16.5,836.3636363636364,JD
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,172.0,380.0,171,415,6.7,115.0,750.0,520,5,RWD,JD - Large,4830,1925,1620,SUV,0,9.29775,15.062355000000002,16.5,460.6060606060606,JD
BYD,SEALION 7 91.3 kWh AWD Excellence,215,91.3,,690.0,182,430,4.5,165.0,1500.0,520,5,AWD,JD - Large,4830,1925,1620,SUV,1,9.29775,15.062355000000002,18.259999999999998,755.750273822563,JD
BYD,TANG Flagship,190,108.8,,700.0,205,460,4.9,100.0,1500.0,235,7,AWD,JE - Executive,4970,1955,1745,SUV,1,9.71635,16.955030750000002,15.542857142857143,643.3823529411765,JE
CUPRA,Born 170 kW - 59 kWh,160,59.0,216.0,310.0,156,360,6.7,110.0,0.0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,0,7.818498,12.04048692,11.8,525.4237288135594,C
CUPRA,Born 170 kW - 77 kWh,160,77.0,288.0,310.0,157,460,7.0,125.0,0.0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,0,7.818498,12.04048692,15.4,402.5974025974026,C
CUPRA,Born VZ,200,79.0,288.0,545.0,149,465,5.6,135.0,0.0,385,5,RWD,C - Medium,4322,1809,1538,Hatchback,0,7.818498,12.024849924,15.8,689.873417721519,C
CUPRA,Tavascan Endurance,180,77.0,288.0,545.0,142,445,6.8,120.0,1000.0,540,5,RWD,JC - Medium,4644,1861,1597,SUV,0,8.642484,13.802046948,15.4,707.7922077922078,JC
CUPRA,Tavascan VZ,180,77.0,288.0,545.0,150,425,5.5,120.0,1200.0,540,5,AWD,JC - Medium,4644,1861,1597,SUV,0,8.642484,13.802046948,15.4,707.7922077922078,JC
Cadillac,Lyriq 600 E4,210,102.0,288.0,610.0,192,460,5.3,165.0,1587.0,793,5,AWD,JF - Luxury,5005,1977,1623,SUV,0,9.894885,16.059398355,20.4,598.0392156862745,JF
Citroen,e-Berlingo M 50 kWh,132,50.0,,260.0,149,235,11.7,80.0,750.0,775,5,FWD,N - Passenger Van,4403,1921,1803,Small Passenger Van,1,8.458162999999999,15.250067888999997,10.0,520.0,N
Citroen,e-Berlingo XL 50 kWh,132,50.0,,260.0,149,230,11.7,80.0,750.0,1050,7,FWD,N - Passenger Van,4753,1921,1814,Small Passenger Van,1,9.130513,16.562750582000003,7.142857142857143,520.0,N
Citroen,e-C3,135,44.0,,120.0,135,255,11.5,60.0,550.0,310,5,FWD,B - Compact,4015,1755,1577,Hatchback,1,7.046324999999999,11.112054524999998,8.8,272.7272727272727,B
Citroen,e-C3 Aircross,145,44.0,,125.0,144,240,12.9,60.0,350.0,460,5,FWD,JB - Compact,4395,1795,1660,SUV,1,7.889024999999999,13.095781499999998,8.8,284.09090909090907,JB
Citroen,e-C4,150,46.3,216.0,260.0,135,285,9.9,78.0,0.0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,0,7.996240000000001,12.194266,9.26,561.5550755939526,C
Citroen,e-C4 54 kWh,150,50.8,102.0,260.0,122,325,9.1,78.0,0.0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,0,7.996240000000001,12.194266,10.16,511.8110236220473,C
Citroen,e-C4 X,150,46.3,216.0,260.0,132,290,9.9,78.0,0.0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,0,8.436399999999999,12.865509999999997,9.26,561.5550755939526,C
Citroen,e-C4 X 54 kWh,150,50.8,102.0,260.0,119,335,9.1,78.0,0.0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,0,8.436399999999999,12.865509999999997,10.16,511.8110236220473,C
Citroen,e-SpaceTourer M 50 kWh,130,46.3,216.0,220.0,217,180,13.3,78.0,1000.0,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,0,9.567359999999999,18.082310399999997,5.144444444444444,475.16198704103675,N
Citroen,e-SpaceTourer M 75 kWh,130,68.0,324.0,220.0,202,260,14.2,79.0,1000.0,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,0,9.567359999999999,18.082310399999997,7.555555555555555,323.5294117647059,N
Citroen,e-SpaceTourer XL 50 kWh,130,46.3,216.0,220.0,219,180,13.3,78.0,1000.0,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,0,10.23936,19.352390399999997,5.144444444444444,475.16198704103675,N
Citroen,e-SpaceTourer XL 75 kWh,130,68.0,324.0,220.0,204,260,14.2,79.0,1000.0,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,0,10.23936,19.352390399999997,7.555555555555555,323.5294117647059,N
DS,3 E-Tense,150,50.8,102.0,260.0,128,300,9.0,85.0,0.0,350,5,FWD,JB - Compact,4118,1802,1534,SUV,0,7.420636000000001,11.383255624000002,10.16,511.8110236220473,JB
DS,N°4 E-Tense,160,58.3,,345.0,130,375,7.1,70.0,0.0,390,5,FWD,JC - Medium,4400,1866,1470,Hatchback,1,8.210400000000002,12.069288000000002,11.66,591.7667238421956,JC
DS,N°8 AWD Long Range,190,97.2,,511.0,146,530,5.4,130.0,1400.0,620,5,AWD,JD - Large,4834,1920,1574,SUV,1,9.281279999999999,14.60873472,19.44,525.7201646090535,JD
DS,N°8 FWD,190,73.7,,345.0,141,415,7.7,100.0,1260.0,620,5,FWD,JD - Large,4834,1920,1574,SUV,1,9.281279999999999,14.60873472,14.74,468.11397557666214,JD
DS,N°8 FWD Long Range,190,97.2,,345.0,136,545,7.8,130.0,1200.0,620,5,FWD,JD - Large,4834,1920,1574,SUV,1,9.281279999999999,14.60873472,19.44,354.9382716049382,JD
Dacia,Spring Electric 45,125,25.0,72.0,125.0,109,165,19.1,29.0,0.0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,0,6.0014,9.098122400000001,6.25,500.0,A
Dacia,Spring Electric 65,125,25.0,72.0,113.0,114,160,13.7,29.0,0.0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,0,6.0014,9.098122400000001,6.25,451.99999999999994,A
Dongfeng,Box 31.4 kWh,140,29.0,,160.0,126,190,12.5,50.0,,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,1,7.276199999999999,11.423634,5.8,551.7241379310345,B
Dongfeng,Box 42.3 kWh,140,40.0,,160.0,129,255,12.5,51.0,,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,1,7.276199999999999,11.423634,8.0,400.0,B
Elaris,BEO 86 kWh,150,81.0,,320.0,203,390,9.5,65.0,,467,5,FWD,JD - Large,4698,1908,1696,SUV,1,8.963784,15.202577664,16.2,395.0617283950617,JD
Fiat,500e 3+1 24 kWh,135,21.3,108.0,220.0,112,135,9.0,40.0,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,6.1109729999999995,9.343677716999998,5.325,1032.8638497652582,B
Fiat,500e 3+1 42 kWh,150,37.3,192.0,220.0,122,235,9.0,67.0,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,6.1109729999999995,9.343677716999998,9.325,589.8123324396784,B
Fiat,500e Cabrio 24 kWh,135,21.3,108.0,220.0,112,135,9.0,40.0,0.0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,0,6.1109729999999995,9.343677716999998,5.325,1032.8638497652582,B
Fiat,500e Cabrio 42 kWh,150,37.3,192.0,220.0,125,230,9.0,67.0,0.0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,0,6.1109729999999995,9.343677716999998,9.325,589.8123324396784,B
Fiat,500e Hatchback 24 kWh,135,21.3,108.0,220.0,112,135,9.0,40.0,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,6.1109729999999995,9.343677716999998,5.325,1032.8638497652582,B
Fiat,500e Hatchback 42 kWh,150,37.3,192.0,220.0,118,235,9.0,67.0,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,6.1109729999999995,9.343677716999998,9.325,589.8123324396784,B
Fiat,600e,150,50.8,102.0,260.0,124,310,9.0,79.0,0.0,360,5,FWD,JB - Compact,4171,1781,1523,SUV,0,7.428551,11.313683173,10.16,511.8110236220473,JB
Fiat,Grande Panda,132,43.8,,122.0,136,260,11.0,60.0,550.0,361,5,FWD,B - Compact,3999,1763,1570,Hatchback,1,7.050237,11.068872090000001,8.76,278.53881278538813,B
Ford,Capri Extended Range AWD,180,79.0,288.0,679.0,148,455,5.3,135.0,1200.0,572,5,AWD,D - Large,4643,1872,1626,Liftback Sedan,0,8.691696,14.132697696,15.8,859.493670886076,D
Ford,Capri Extended Range RWD,180,77.0,288.0,545.0,135,455,6.4,120.0,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,0,8.691696,14.132697696,15.4,707.7922077922078,D
Ford,Capri Standard Range RWD,160,52.0,192.0,310.0,163,320,9.0,85.0,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,0,8.691696,14.132697696,10.4,596.1538461538462,D
Ford,Explorer Extended Range AWD,180,79.0,288.0,679.0,153,440,5.3,135.0,1200.0,536,5,AWD,JC - Medium,4468,1871,1639,SUV,0,8.359628,13.701430292000001,15.8,859.493670886076,JC
Ford,Explorer Extended Range RWD,180,77.0,288.0,545.0,139,435,6.4,120.0,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV,0,8.359628,13.62619364,15.4,707.7922077922078,JC
Ford,Explorer Standard Range RWD,160,52.0,192.0,310.0,137,305,8.7,85.0,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV,0,8.359628,13.62619364,10.4,596.1538461538462,JC
Ford,Mustang Mach-E ER AWD (MY25),180,88.0,,675.0,160,435,4.8,105.0,1500.0,519,5,AWD,JD - Large,4713,1881,1624,SUV,1,8.865153,14.397008472,17.6,767.0454545454546,JD
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,376.0,675.0,165,445,4.6,115.0,1500.0,519,5,AWD,JD - Large,4713,1881,1624,SUV,0,8.865153,14.397008472,18.2,741.7582417582418,JD
Ford,Mustang Mach-E ER RWD (MY25),180,88.0,,525.0,147,475,6.1,105.0,1500.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,1,8.865153,14.397008472,17.6,596.5909090909091,JD
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,376.0,525.0,152,480,5.9,115.0,1500.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,0,8.865153,14.397008472,18.2,576.9230769230769,JD
Ford,Mustang Mach-E GT (MY24),200,91.0,376.0,950.0,177,425,3.8,115.0,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV,0,8.921583,14.390513379,18.2,1043.956043956044,JD
Ford,Mustang Mach-E GT (MY25),200,91.0,376.0,950.0,177,435,3.8,115.0,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV,0,8.921583,14.390513379,18.2,1043.956043956044,JD
Ford,Mustang Mach-E Rally (MY25),200,91.0,376.0,950.0,178,415,3.9,115.0,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV,0,8.921583,14.568945039,18.2,1043.956043956044,JD
Ford,Mustang Mach-E Rally (MY24),200,91.0,376.0,950.0,178,410,3.9,115.0,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV,0,8.921583,14.568945039,18.2,1043.956043956044,JD
Ford,Mustang Mach-E SR RWD (MY24),180,72.6,,525.0,154,385,6.2,100.0,750.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,1,8.865153,14.397008472,14.52,723.1404958677687,JD
Ford,Mustang Mach-E SR RWD (MY25),180,72.6,,525.0,154,380,6.2,100.0,750.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,1,8.865153,14.397008472,14.52,723.1404958677687,JD
Ford,Puma Gen-E,160,43.6,,290.0,126,275,8.0,85.0,750.0,523,5,FWD,JB - Compact,4214,1805,1555,SUV,1,7.60627,11.82774985,8.72,665.1376146788991,JB
Ford,e-Tourneo Courier,145,43.6,,290.0,164,200,11.0,80.0,750.0,,5,FWD,N - Passenger Van,4337,1876,1817,Small Passenger Van,1,8.136211999999999,14.783497203999998,8.72,665.1376146788991,N
